0,1,2,3,4
False,True,True,True,True
True,False,True,True,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
True,True,True,False,True
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,False,True,True,True
True,False,True,True,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,True,False,True
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,False,True,True,True
True,True,False,True,True
True,True,True,False,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,False,True,True
True,True,True,True,False
True,True,True,True,False
False,True,True,True,True
True,True,True,True,False
True,True,False,True,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,True,True,True,False
True,True,True,True,False
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,True,True,True,False
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,True,False,True,True
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
False,True,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
False,True,True,True,True
True,True,True,False,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,True,False,True,True
False,True,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
False,True,True,True,True
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
True,True,True,False,True
True,True,False,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,False,True,True
True,True,True,False,True
False,True,True,True,True
False,True,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,True,False,True
False,True,True,True,True
False,True,True,True,True
True,True,True,False,True
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,True,False,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
False,True,True,True,True
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
False,True,True,True,True
False,True,True,True,True
True,True,False,True,True
False,True,True,True,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,True,True,True,False
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
True,False,True,True,True
True,True,False,True,True
True,True,False,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,True,False
False,True,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
False,True,True,True,True
False,True,True,True,True
False,True,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
True,True,True,False,True
True,False,True,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,False,True,True
True,True,True,True,False
True,True,True,False,True
True,False,True,True,True
False,True,True,True,True
True,True,False,True,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
True,True,True,False,True
False,True,True,True,True
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
False,True,True,True,True
True,True,False,True,True
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
False,True,True,True,True
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
False,True,True,True,True
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,False,True,True
True,False,True,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,True,False,True
True,False,True,True,True
True,True,True,False,True
False,True,True,True,True
False,True,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,False,True
False,True,True,True,True
False,True,True,True,True
False,True,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,True,True,False
True,False,True,True,True
True,True,False,True,True
False,True,True,True,True
True,True,False,True,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,True,True,False
False,True,True,True,True
True,True,True,False,True
True,True,False,True,True
True,True,True,False,True
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,False,True
True,False,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,True,True,False
False,True,True,True,True
True,True,True,False,True
False,True,True,True,True
True,True,True,False,True
True,False,True,True,True
False,True,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,False,True,True
False,True,True,True,True
False,True,True,True,True
True,True,False,True,True
True,False,True,True,True
True,True,False,True,True
True,True,False,True,True
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,True,False
True,False,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,True,True,False
True,True,True,True,False
True,False,True,True,True
False,True,True,True,True
False,True,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,True,False,True
True,True,False,True,True
True,True,True,False,True
True,True,True,True,False
True,True,True,False,True
True,True,True,True,False
True,False,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,True,False,True
False,True,True,True,True
True,True,True,True,False
True,True,True,False,True
True,True,False,True,True
True,True,False,True,True
True,True,True,False,True
True,True,True,False,True
True,True,True,True,False
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,False,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,True,False,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,True,False
False,True,True,True,True
True,True,True,False,True
True,True,True,True,False
True,True,False,True,True
True,False,True,True,True
True,True,False,True,True
True,True,True,False,True
False,True,True,True,True
True,True,False,True,True
True,True,True,True,False
True,True,True,False,True
False,True,True,True,True
True,True,True,False,True
False,True,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,True,False,True,True
False,True,True,True,True
True,True,False,True,True
True,True,True,True,False
False,True,True,True,True
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,True,False,True,True
False,True,True,True,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,True,True,False,True
True,True,True,True,False
True,True,True,False,True
True,True,True,False,True
True,True,True,True,False
True,True,True,True,False
True,True,False,True,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,False,True,True
True,False,True,True,True
True,True,True,False,True
True,True,False,True,True
True,False,True,True,True
True,False,True,True,True
True,False,True,True,True
True,True,True,True,False
True,True,False,True,True
True,True,False,True,True
False,True,True,True,True
True,False,True,True,True
False,True,True,True,True
True,True,False,True,True
False,True,True,True,True
True,True,False,True,True
True,True,False,True,True
True,True,False,True,True
